Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
19-May-26,360ONE,1098.4,1104.9, -0.00590026,  0.02169762,  0.02164740,  0.41357308,1102.2,1105.4, -0.00289908,  0.02175731,  0.02170380,  0.41465060,  0.02170380,  0.41465060
19-May-26,ABB,6329,6413.5, -0.01326290,  0.02028453,  0.02025542,  0.38697934,6315.5,6392, -0.01204028,  0.02032054,  0.02028744,  0.38759101,  0.02028744,  0.38759101
19-May-26,ABCAPITAL,351.2,350.1,  0.00313703,  0.02139038,  0.02133803,  0.40766246,352.2,351.2,  0.00284333,  0.02156828,  0.02151521,  0.41104760,  0.02151521,  0.41104760
19-May-26,ADANIENSOL,1329.5,1328.3,  0.00090300,  0.02896927,  0.02889685,  0.55207356,1332.8,1328.4,  0.00330678,  0.02911578,  0.02904386,  0.55488224,  0.02904386,  0.55488224
19-May-26,ADANIENT,2724.8,2689.8,  0.01292819,  0.02550497,  0.02545748,  0.48636444,2723.9,2692.1,  0.01174312,  0.02601771,  0.02596584,  0.49607670,  0.02596584,  0.49607670
19-May-26,ADANIGREEN,1377.9,1369,  0.00648005,  0.03048787,  0.03041500,  0.58107782,1377.9,1371.9,  0.00436396,  0.03066495,  0.03058976,  0.58441658,  0.03058976,  0.58441658
19-May-26,ADANIPORTS,1762.8,1787.7, -0.01402642,  0.02099312,  0.02096402,  0.40051705,1765.2,1785.4, -0.01137848,  0.02091866,  0.02088180,  0.39894615,  0.02096402,  0.40051705
19-May-26,ADANIPOWER,219.09,219.3, -0.00095805,  0.02741369,  0.02734515,  0.52242829,219.08,219.81, -0.00332658,  0.02736465,  0.02729709,  0.52151021,  0.02734515,  0.52242829
19-May-26,ALKEM,5470,5468,  0.00036570,  0.01516931,  0.01513143,  0.28908553,5480.5,5458,  0.00411392,  0.01510394,  0.01506897,  0.28789234,  0.01513143,  0.28908553
19-May-26,AMBER,7128.5,7153, -0.00343102,  0.03019610,  0.03012142,  0.57546889,7157,7149.5,  0.00104847,  0.03062362,  0.03054712,  0.58360188,  0.03054712,  0.58360188
19-May-26,AMBUJACEM,431.7,430.15,  0.00359692,  0.01893692,  0.01889131,  0.36091799,431.65,430.1,  0.00359733,  0.01913124,  0.01908493,  0.36461715,  0.01908493,  0.36461715
19-May-26,ANGELONE,328,303.95,  0.07615039,  0.02922229,  0.02964228,  0.56631495,328.3,304.85,  0.07410797,  0.02928142,  0.02967445,  0.56692956,  0.02967445,  0.56692956
19-May-26,APLAPOLLO,1864.5,1876, -0.00614893,  0.01890686,  0.01886456,  0.36040695,1864.3,1879.7, -0.00822654,  0.01867776,  0.01864012,  0.35611900,  0.01886456,  0.36040695
19-May-26,APOLLOHOSP,8026,8020.5,  0.00068551,  0.01304427,  0.01301159,  0.24858617,8048.5,8043.5,  0.00062143,  0.01280845,  0.01277660,  0.24409669,  0.01301159,  0.24858617
19-May-26,ASHOKLEY,151.38,151.14,  0.00158667,  0.02226228,  0.02220686,  0.42426142,152.01,151.72,  0.00190959,  0.02173786,  0.02168376,  0.41426771,  0.02220686,  0.42426142
19-May-26,ASIANPAINT,2600.7,2614, -0.00510098,  0.01549502,  0.01546058,  0.29537401,2605.7,2611.4, -0.00218512,  0.01542206,  0.01538423,  0.29391539,  0.01546058,  0.29537401
19-May-26,ASTRAL,1448.9,1545.7, -0.06467223,  0.01839576,  0.01891086,  0.36129140,1444.9,1547.3, -0.06847136,  0.01800829,  0.01860430,  0.35543473,  0.01891086,  0.36129140
19-May-26,AUBANK,971.9,979, -0.00727872,  0.01969887,  0.01965641,  0.37553528,974.1,981, -0.00705849,  0.01902822,  0.01898707,  0.36274743,  0.01965641,  0.37553528
19-May-26,AUROPHARMA,1512.8,1500.5,  0.00816385,  0.01726456,  0.01723116,  0.32920086,1515.7,1504.1,  0.00768267,  0.01728630,  0.01725170,  0.32959319,  0.01725170,  0.32959319
19-May-26,AXISBANK,1238.3,1237.9,  0.00032308,  0.01558923,  0.01555009,  0.29708413,1241,1238.2,  0.00225879,  0.01535158,  0.01531395,  0.29257266,  0.01555009,  0.29708413
19-May-26,BAJAJ-AUTO,10205,10198.5,  0.00063715,  0.01573838,  0.01569916,  0.29993197,10211.5,10224, -0.00122336,  0.01570325,  0.01566412,  0.29926252,  0.01569916,  0.29993197
19-May-26,BAJAJFINSV,1749.8,1753.1, -0.00188415,  0.01550736,  0.01546917,  0.29553816,1749.3,1751.9, -0.00148521,  0.01585050,  0.01581122,  0.30207303,  0.01581122,  0.30207303
19-May-26,BAJAJHLDNG,10313,10367, -0.00522245,  0.01978350,  0.01973751,  0.37708466,10301,10363, -0.00600079,  0.01985040,  0.01980530,  0.37837970,  0.01980530,  0.37837970
19-May-26,BAJFINANCE,923.55,921.1,  0.00265633,  0.01850349,  0.01845815,  0.35264250,922.5,919.95,  0.00276806,  0.01835059,  0.01830559,  0.34972780,  0.01845815,  0.35264250
19-May-26,BANDHANBNK,191.21,190.34,  0.00456035,  0.02464230,  0.02458267,  0.46965130,190.95,190.45,  0.00262192,  0.02466082,  0.02459987,  0.46997984,  0.02459987,  0.46997984
19-May-26,BANKBARODA,260.6,260.05,  0.00211274,  0.01891078,  0.01886410,  0.36039810,260.45,260,  0.00172927,  0.01904687,  0.01899950,  0.36298496,  0.01899950,  0.36298496
19-May-26,BANKEX,60171.84,60297.97, -0.00209397,  0.01137761,  0.01135010,  0.21684327,60249.7,60385.35, -0.00224893,  0.01152862,  0.01150090,  0.21972442,  0.01150090,  0.21972442
19-May-26,BANKINDIA,138.64,138.22,  0.00303403,  0.02206635,  0.02201207,  0.42054009,139.12,138.33,  0.00569474,  0.02217369,  0.02212179,  0.42263629,  0.02212179,  0.42263629
19-May-26,BANKNIFTY,53409.15,53537, -0.00239092,  0.01116985,  0.01114337,  0.21289382,53501.8,53702.8, -0.00374984,  0.01105125,  0.01102677,  0.21066615,  0.01114337,  0.21289382
19-May-26,BDL,1311.7,1309.2,  0.00190774,  0.02702405,  0.02695676,  0.51500810,1309.6,1307.4,  0.00168131,  0.02752839,  0.02745970,  0.52461682,  0.02745970,  0.52461682
19-May-26,BEL,422.95,426.6, -0.00859284,  0.01897846,  0.01894065,  0.36186064,423.5,426.45, -0.00694161,  0.01900228,  0.01896116,  0.36225240,  0.01896116,  0.36225240
19-May-26,BHARATFORG,1857.2,1891, -0.01803581,  0.02059266,  0.02058072,  0.39319416,1863.8,1892, -0.01501706,  0.02078891,  0.02076407,  0.39669703,  0.02076407,  0.39669703
19-May-26,BHARTIARTL,1913.5,1938.1, -0.01277409,  0.01352942,  0.01352592,  0.25841243,1911.6,1936.4, -0.01288999,  0.01304450,  0.01304377,  0.24920089,  0.01352592,  0.25841243
19-May-26,BHEL,401.1,395.25,  0.01469230,  0.02506035,  0.02501918,  0.47799071,400.75,395.55,  0.01306059,  0.02515511,  0.02510914,  0.47970948,  0.02510914,  0.47970948
19-May-26,BIOCON,428.15,426.25,  0.00444757,  0.01897910,  0.01893430,  0.36173936,429.05,426.7,  0.00549227,  0.01900652,  0.01896298,  0.36228721,  0.01896298,  0.36228721
19-May-26,BLUESTARCO,1682,1633.8,  0.02907497,  0.02210320,  0.02214349,  0.42305073,1683.9,1638.8,  0.02714826,  0.02237315,  0.02239961,  0.42794387,  0.02239961,  0.42794387
19-May-26,BOSCHLTD,37130,37155, -0.00067308,  0.01812637,  0.01808119,  0.34544064,37090,37240, -0.00403606,  0.01813166,  0.01808861,  0.34558232,  0.01808861,  0.34558232
