Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
09-Jul-26,360ONE,1100.2,1091.7,  0.00775587,  0.02115227,  0.02110648,  0.40323881,1104.8,1091.2,  0.01238632,  0.02123219,  0.02119724,  0.40497273,  0.02119724,  0.40497273
09-Jul-26,ABB,6820,6771.5,  0.00713684,  0.02012534,  0.02008132,  0.38365313,6815,6743,  0.01062114,  0.02011687,  0.02008060,  0.38363937,  0.02008132,  0.38365313
09-Jul-26,ABCAPITAL,397.35,385.75,  0.02962801,  0.02159264,  0.02164019,  0.41343528,397.85,387,  0.02765036,  0.02174838,  0.02178182,  0.41614112,  0.02178182,  0.41614112
09-Jul-26,ADANIENSOL,1618.5,1655.5, -0.02260328,  0.02792683,  0.02790278,  0.53308182,1624.8,1663, -0.02323847,  0.02806398,  0.02804197,  0.53574112,  0.02804197,  0.53574112
09-Jul-26,ADANIENT,3083.7,3046.9,  0.01200549,  0.02470955,  0.02466228,  0.47117212,3093,3061,  0.01039983,  0.02514427,  0.02509202,  0.47938243,  0.02509202,  0.47938243
09-Jul-26,ADANIGREEN,1486.6,1504.6, -0.01203545,  0.02921705,  0.02915641,  0.55703237,1493.2,1511, -0.01185022,  0.02938132,  0.02931972,  0.56015242,  0.02931972,  0.56015242
09-Jul-26,ADANIPORTS,1799.9,1791.7,  0.00456622,  0.01991608,  0.01986885,  0.37959375,1807.1,1799.5,  0.00421450,  0.01983934,  0.01979194,  0.37812444,  0.01986885,  0.37959375
09-Jul-26,ADANIPOWER,216.32,216.47, -0.00069318,  0.02654190,  0.02647546,  0.50581298,217.14,217.53, -0.00179447,  0.02657644,  0.02651027,  0.50647805,  0.02651027,  0.50647805
09-Jul-26,ALKEM,5648.5,5606,  0.00755257,  0.01457056,  0.01454385,  0.27785995,5666.5,5622.5,  0.00779524,  0.01455436,  0.01452841,  0.27756487,  0.01454385,  0.27785995
09-Jul-26,AMBER,7600,7424,  0.02343025,  0.02889159,  0.02886679,  0.55149916,7622.5,7426,  0.02611704,  0.02932217,  0.02930702,  0.55990987,  0.02930702,  0.55990987
09-Jul-26,AMBUJACEM,428.15,421.1,  0.01660327,  0.01889713,  0.01888631,  0.36082252,430.35,422,  0.01959352,  0.01914932,  0.01915166,  0.36589193,  0.01915166,  0.36589193
