Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
11-May-26,360ONE,1115.3,1115.1,  0.00017934,  0.02181548,  0.02176099,  0.41574308,1116.3,1124.1, -0.00696307,  0.02184425,  0.02179510,  0.41639488,  0.02179510,  0.41639488
11-May-26,ABB,6387.5,7012.5, -0.09335132,  0.01942612,  0.02047084,  0.39109494,6350.5,6998.5, -0.09716229,  0.01939478,  0.02053002,  0.39222550,  0.02053002,  0.39222550
11-May-26,ABCAPITAL,352.95,362.95, -0.02793868,  0.02135047,  0.02138840,  0.40862481,354.45,364.15, -0.02699858,  0.02154201,  0.02157277,  0.41214715,  0.02157277,  0.41214715
11-May-26,ADANIENSOL,1340.4,1353.6, -0.00979963,  0.02914080,  0.02907618,  0.55549963,1347.3,1360.2, -0.00952916,  0.02929928,  0.02923374,  0.55850989,  0.02923374,  0.55850989
11-May-26,ADANIENT,2500.2,2505.9, -0.00227722,  0.02490483,  0.02484300,  0.47462486,2510.9,2518.5, -0.00302223,  0.02548979,  0.02542690,  0.48578016,  0.02542690,  0.48578016
11-May-26,ADANIGREEN,1387.7,1355.8,  0.02325601,  0.03029583,  0.03026475,  0.57820721,1389.9,1362.1,  0.02020418,  0.03050464,  0.03046175,  0.58197097,  0.03046175,  0.58197097
11-May-26,ADANIPORTS,1767.3,1760.4,  0.00391190,  0.02088809,  0.02083759,  0.39810151,1768.7,1763.8,  0.00277424,  0.02086703,  0.02081565,  0.39768246,  0.02083759,  0.39810151
11-May-26,ADANIPOWER,222.04,225.32, -0.01466407,  0.02722450,  0.02717608,  0.51919828,222.68,225.92, -0.01444519,  0.02719251,  0.02714362,  0.51857815,  0.02717608,  0.51919828
11-May-26,ALKEM,5599.5,5585.5,  0.00250335,  0.01521744,  0.01518037,  0.29002047,5621,5590.5,  0.00544086,  0.01517956,  0.01514648,  0.28937313,  0.01518037,  0.29002047
11-May-26,AMBER,8539,8824.5, -0.03288804,  0.02777578,  0.02780361,  0.53118720,8549,8867.5, -0.03657859,  0.02811513,  0.02816377,  0.53806798,  0.02816377,  0.53806798
