Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
27-Apr-26,360ONE,1042.05,1033.6,  0.00814207,  0.02208132,  0.02203346,  0.42094875,1042.2,1032.5,  0.00935082,  0.02211515,  0.02206970,  0.42164108,  0.02206970,  0.42164108
27-Apr-26,ABB,7430.5,7328.5,  0.01382229,  0.01964136,  0.01961648,  0.37477237,7458.5,7352,  0.01438194,  0.01963892,  0.01961621,  0.37476719,  0.01961648,  0.37477237
27-Apr-26,ABCAPITAL,342.55,340.6,  0.00570886,  0.02139349,  0.02134372,  0.40777128,343.2,341.2,  0.00584455,  0.02156964,  0.02151963,  0.41113198,  0.02151963,  0.41113198
27-Apr-26,ADANIENSOL,1435.85,1411.95,  0.01678528,  0.02928498,  0.02923578,  0.55854874,1438,1410.55,  0.01927356,  0.02943475,  0.02939261,  0.56154497,  0.02939261,  0.56154497
27-Apr-26,ADANIENT,2321.8,2287.6,  0.01483951,  0.02507067,  0.02502995,  0.47819651,2326.6,2289.1,  0.01624925,  0.02571515,  0.02567652,  0.49054929,  0.02567652,  0.49054929
27-Apr-26,ADANIGREEN,1229.75,1235.75, -0.00486718,  0.03061946,  0.03054473,  0.58355630,1229.7,1234.9, -0.00421976,  0.03084668,  0.03077095,  0.58787820,  0.03077095,  0.58787820
27-Apr-26,ADANIPORTS,1628.5,1585.2,  0.02694876,  0.02086747,  0.02090225,  0.39933687,1630.5,1586.8,  0.02716731,  0.02086044,  0.02089676,  0.39923201,  0.02090225,  0.39933687
27-Apr-26,ADANIPOWER,218.05,212.91,  0.02385485,  0.02758377,  0.02756630,  0.52665345,218.56,213.53,  0.02328324,  0.02754053,  0.02752087,  0.52578543,  0.02756630,  0.52665345
27-Apr-26,ALKEM,5344,5235,  0.02060759,  0.01525615,  0.01528756,  0.29206850,5361,5248.5,  0.02120820,  0.01526101,  0.01529655,  0.29224018,  0.01529655,  0.29224018
27-Apr-26,AMBER,8111.5,7753.5,  0.04513845,  0.02782736,  0.02794057,  0.53380389,8144,7784,  0.04521111,  0.02810535,  0.02821667,  0.53907879,  0.02821667,  0.53907879
27-Apr-26,AMBUJACEM,460.5,451.2,  0.02040216,  0.01894025,  0.01894776,  0.36199644,461.9,451.35,  0.02310533,  0.01912785,  0.01914967,  0.36585397,  0.01914967,  0.36585397
27-Apr-26,ANGELONE,318.64,314.53,  0.01298248,  0.02977930,  0.02971900,  0.56778061,319.29,315.79,  0.01102235,  0.02984012,  0.02977558,  0.56886170,  0.02977558,  0.56886170
27-Apr-26,APLAPOLLO,1987.7,2004.5, -0.00841646,  0.01903598,  0.01899769,  0.36295041,1989.2,2010.2, -0.01050167,  0.01881932,  0.01878698,  0.35892473,  0.01899769,  0.36295041
27-Apr-26,APOLLOHOSP,7825,7732.5,  0.01189151,  0.01314512,  0.01313899,  0.25102007,7821.5,7724.5,  0.01247926,  0.01292433,  0.01292221,  0.24687844,  0.01313899,  0.25102007
27-Apr-26,ASHOKLEY,169.3,169.9, -0.00353774,  0.02230275,  0.02224827,  0.42505261,169.79,169.88, -0.00052993,  0.02164493,  0.02159071,  0.41249000,  0.02224827,  0.42505261
27-Apr-26,ASIANPAINT,2485.2,2485.1,  0.00004024,  0.01526225,  0.01522417,  0.29085733,2484.7,2487.2, -0.00100565,  0.01526181,  0.01522368,  0.29084801,  0.01522417,  0.29085733
27-Apr-26,ASTRAL,1535,1563.2, -0.01820462,  0.01864517,  0.01864293,  0.35617268,1540.1,1570.8, -0.01973769,  0.01819417,  0.01820227,  0.34775393,  0.01864293,  0.35617268
27-Apr-26,AUBANK,1043,1065.65, -0.02148377,  0.02003068,  0.02003825,  0.38283030,1044,1066.35, -0.02118211,  0.01935224,  0.01936184,  0.36990744,  0.02003825,  0.38283030
27-Apr-26,AUROPHARMA,1416.7,1413.8,  0.00204911,  0.01740583,  0.01736278,  0.33171548,1421.6,1419.4,  0.00154875,  0.01739008,  0.01734676,  0.33140931,  0.01736278,  0.33171548
27-Apr-26,AXISBANK,1324.2,1365.9, -0.03100505,  0.01559470,  0.01570925,  0.30012485,1322.1,1368.7, -0.03464000,  0.01530062,  0.01545766,  0.29531808,  0.01570925,  0.30012485
27-Apr-26,BAJAJ-AUTO,9662,9576,  0.00894070,  0.01541272,  0.01538707,  0.29396956,9671,9589.5,  0.00846297,  0.01539132,  0.01536436,  0.29353575,  0.01538707,  0.29396956
27-Apr-26,BAJAJFINSV,1772.2,1770.7,  0.00084676,  0.01569748,  0.01565827,  0.29915090,1774.7,1773.5,  0.00067640,  0.01602001,  0.01597996,  0.30529669,  0.01597996,  0.30529669
27-Apr-26,BAJAJHLDNG,10333.5,10259.5,  0.00718694,  0.02013502,  0.02009107,  0.38383939,10329,10294,  0.00339427,  0.02018428,  0.02013531,  0.38468448,  0.02013531,  0.38468448
27-Apr-26,BAJFINANCE,921.8,921.55,  0.00027125,  0.01873629,  0.01868944,  0.35706122,924.8,920.75,  0.00438894,  0.01854741,  0.01850368,  0.35351236,  0.01868944,  0.35706122
27-Apr-26,BANDHANBNK,181.87,174.66,  0.04045092,  0.02381753,  0.02392938,  0.45717009,181.83,174.8,  0.03942972,  0.02381974,  0.02392314,  0.45705094,  0.02392938,  0.45717009
27-Apr-26,BANKBARODA,273.99,274.13, -0.00051084,  0.01910047,  0.01905275,  0.36400221,274.26,273.75,  0.00186128,  0.01922106,  0.01917342,  0.36630769,  0.01917342,  0.36630769
27-Apr-26,BANKEX,63383.36,63188.31,  0.00308205,  0.01136527,  0.01133894,  0.21663022,63549.35,63248.6,  0.00474378,  0.01148644,  0.01146267,  0.21899401,  0.01146267,  0.21899401
27-Apr-26,BANKINDIA,147.51,147.44,  0.00047466,  0.02231279,  0.02225695,  0.42521843,147.73,148.01, -0.00189356,  0.02235489,  0.02229931,  0.42602772,  0.02229931,  0.42602772
27-Apr-26,BANKNIFTY,56264.3,56089.75,  0.00310714,  0.01114449,  0.01111878,  0.21242400,56348.6,56206.6,  0.00252321,  0.01100326,  0.01097709,  0.20971699,  0.01111878,  0.21242400
27-Apr-26,BDL,1391.3,1400.4, -0.00651935,  0.02733345,  0.02726897,  0.52097301,1396.1,1398.1, -0.00143154,  0.02778040,  0.02771104,  0.52941859,  0.02771104,  0.52941859
27-Apr-26,BEL,435.6,444.45, -0.02011317,  0.01924652,  0.01925099,  0.36778961,436.3,445.3, -0.02041813,  0.01932485,  0.01933047,  0.36930820,  0.01933047,  0.36930820
27-Apr-26,BHARATFORG,1901.1,1856,  0.02400903,  0.02046652,  0.02048579,  0.39138055,1899.5,1857.1,  0.02257456,  0.02067657,  0.02068648,  0.39521465,  0.02068648,  0.39521465
27-Apr-26,BHARTIARTL,1820.1,1814.5,  0.00308150,  0.01260894,  0.01257945,  0.24033003,1820.1,1817.6,  0.00137450,  0.01216565,  0.01213546,  0.23184768,  0.01257945,  0.24033003
27-Apr-26,BHEL,348.58,337.39,  0.03262823,  0.02454860,  0.02459553,  0.46989685,348.92,338,  0.03179677,  0.02461882,  0.02465998,  0.47112830,  0.02465998,  0.47112830
27-Apr-26,BIOCON,362,349.85,  0.03413972,  0.01881901,  0.01892662,  0.36159250,361.65,349.85,  0.03317240,  0.01888556,  0.01898364,  0.36268201,  0.01898364,  0.36268201
27-Apr-26,BLUESTARCO,1916.3,1818.4,  0.05243925,  0.02199082,  0.02224705,  0.42502935,1921.8,1820.3,  0.05426092,  0.02219484,  0.02246927,  0.42927484,  0.02246927,  0.42927484
27-Apr-26,BOSCHLTD,37225,36690,  0.01447634,  0.01816607,  0.01814959,  0.34674751,37320,36765,  0.01498307,  0.01818654,  0.01817192,  0.34717406,  0.01817192,  0.34717406
27-Apr-26,BPCL,312.65,308.1,  0.01465995,  0.01932603,  0.01930562,  0.36883341,313.55,308.85,  0.01510311,  0.01936025,  0.01934131,  0.36951528,  0.01934131,  0.36951528
27-Apr-26,BRITANNIA,5717.5,5730.5, -0.00227114,  0.01303741,  0.01300561,  0.24847187,5702.5,5724, -0.00376319,  0.01303009,  0.01300007,  0.24836605,  0.01300561,  0.24847187
27-Apr-26,BSE,3534.6,3446,  0.02538600,  0.03066101,  0.03063693,  0.58531781,3536.5,3457.4,  0.02262068,  0.03062629,  0.03059148,  0.58444940,  0.03063693,  0.58531781
27-Apr-26,CAMS,759.85,760.75, -0.00118374,  0.02087007,  0.02081800,  0.39772737,763.55,762.55,  0.00131053,  0.02119206,  0.02113914,  0.40386263,  0.02113914,  0.40386263
27-Apr-26,CANBK,140.52,140.85, -0.00234567,  0.02034747,  0.02029723,  0.38777797,140.67,141.11, -0.00312301,  0.02036673,  0.02031686,  0.38815305,  0.02031686,  0.38815305
27-Apr-26,CDSL,1324.1,1312.8,  0.00857072,  0.02366039,  0.02360886,  0.45104662,1324.2,1315.5,  0.00659168,  0.02434460,  0.02428814,  0.46402434,  0.02428814,  0.46402434
27-Apr-26,CGPOWER,820.3,823.15, -0.00346832,  0.02212429,  0.02207018,  0.42165015,822.4,824.45, -0.00248960,  0.02215447,  0.02209970,  0.42221424,  0.02209970,  0.42221424
27-Apr-26,CHOLAFIN,1560.7,1568.2, -0.00479403,  0.02130297,  0.02125243,  0.40602712,1562.3,1568, -0.00364183,  0.02090136,  0.02085071,  0.39835219,  0.02125243,  0.40602712
27-Apr-26,CIPLA,1317.2,1295,  0.01699758,  0.01350763,  0.01352746,  0.25844184,1319.2,1294.1,  0.01921002,  0.01349258,  0.01352719,  0.25843661,  0.01352746,  0.25844184
27-Apr-26,COALINDIA,452.5,456, -0.00770505,  0.01599638,  0.01596551,  0.30502060,454.55,456.7, -0.00471880,  0.01610371,  0.01606688,  0.30695734,  0.01606688,  0.30695734
27-Apr-26,COCHINSHIP,1679.4,1664.7,  0.00879166,  0.02859835,  0.02853361,  0.54513393,1678.5,1662.2,  0.00975851,  0.02850020,  0.02843721,  0.54329211,  0.02853361,  0.54513393
27-Apr-26,COFORGE,1202.4,1150.9,  0.04377531,  0.02300508,  0.02315524,  0.44238028,1201.8,1150.7,  0.04344998,  0.02282472,  0.02297400,  0.43891764,  0.02315524,  0.44238028
27-Apr-26,COLPAL,2140.9,2171.3, -0.01409977,  0.01576863,  0.01576073,  0.30110842,2151.2,2164, -0.00593254,  0.01598403,  0.01594956,  0.30471595,  0.01594956,  0.30471595
27-Apr-26,CONCOR,514.2,502.8,  0.02241982,  0.01797849,  0.01800353,  0.34395696,514.85,503.05,  0.02318603,  0.01822940,  0.01825750,  0.34880910,  0.01825750,  0.34880910
27-Apr-26,CROMPTON,258.67,250.23,  0.03317262,  0.01830974,  0.01841401,  0.35179922,258.41,250.44,  0.03132810,  0.01849597,  0.01858216,  0.35501171,  0.01858216,  0.35501171
27-Apr-26,CUMMINSIND,5233.2,5232,  0.00022933,  0.01882796,  0.01878078,  0.35880636,5229.2,5232.2, -0.00057354,  0.01861646,  0.01856984,  0.35477621,  0.01878078,  0.35880636
27-Apr-26,DABUR,452,451.15,  0.00188230,  0.01426373,  0.01422851,  0.27183528,452.35,451.3,  0.00232391,  0.01429519,  0.01426027,  0.27244204,  0.01426027,  0.27244204
27-Apr-26,DALBHARAT,1972.7,1962.5,  0.00518399,  0.01739161,  0.01735200,  0.33150956,1968.7,1958.6,  0.00514349,  0.01769768,  0.01765719,  0.33734007,  0.01765719,  0.33734007
27-Apr-26,DELHIVERY,462.7,449.7,  0.02849820,  0.02046163,  0.02050969,  0.39183706,462.1,450.65,  0.02509033,  0.02056349,  0.02058867,  0.39334598,  0.02058867,  0.39334598
