Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
25-May-26,360ONE,1142.4,1112.4,  0.02661147,  0.02149488,  0.02152349,  0.41120573,1141.6,1114.2,  0.02429413,  0.02154681,  0.02156130,  0.41192809,  0.02156130,  0.41192809
25-May-26,ABB,6755,6689.5,  0.00974384,  0.02035024,  0.02031093,  0.38803986,6760.5,6663,  0.01452702,  0.02034290,  0.02031787,  0.38817245,  0.02031787,  0.38817245
25-May-26,ABCAPITAL,363.65,357.3,  0.01761610,  0.02125352,  0.02123683,  0.40572913,364.35,358,  0.01758196,  0.02143752,  0.02142003,  0.40922914,  0.02142003,  0.40922914
25-May-26,ADANIENSOL,1404.3,1367.9,  0.02626224,  0.02872604,  0.02871433,  0.54858645,1404.5,1369,  0.02560082,  0.02887908,  0.02886359,  0.55143817,  0.02886359,  0.55143817
25-May-26,ADANIENT,2849.7,2717.3,  0.04757499,  0.02527801,  0.02543820,  0.48599612,2848.3,2721,  0.04572287,  0.02578246,  0.02592044,  0.49520931,  0.02592044,  0.49520931
25-May-26,ADANIGREEN,1411.1,1362.3,  0.03519509,  0.03019836,  0.03022538,  0.57745513,1413.6,1364.9,  0.03505848,  0.03037048,  0.03039578,  0.58071062,  0.03039578,  0.58071062
25-May-26,ADANIPORTS,1802.9,1786.9,  0.00891420,  0.02082845,  0.02078577,  0.39711157,1804.8,1790.7,  0.00784318,  0.02074441,  0.02069990,  0.39547107,  0.02078577,  0.39711157
25-May-26,ADANIPOWER,233.38,219.32,  0.06213618,  0.02714438,  0.02743065,  0.52406178,233.81,219.78,  0.06188177,  0.02710317,  0.02738711,  0.52323003,  0.02743065,  0.52406178
25-May-26,ALKEM,5400.5,5404.5, -0.00074040,  0.01510014,  0.01506229,  0.28776472,5422,5427.5, -0.00101387,  0.01503860,  0.01500114,  0.28659647,  0.01506229,  0.28776472
25-May-26,AMBER,7461.5,7359,  0.01383241,  0.03032476,  0.03026464,  0.57820523,7480,7370,  0.01481509,  0.03075586,  0.03069671,  0.58645977,  0.03069671,  0.58645977
25-May-26,AMBUJACEM,441.95,436.35,  0.01275208,  0.01877840,  0.01875313,  0.35827807,443.15,437.4,  0.01306020,  0.01896926,  0.01894423,  0.36192893,  0.01894423,  0.36192893
25-May-26,ANGELONE,346.45,339.35,  0.02070648,  0.02959128,  0.02955344,  0.56461761,347.1,340.4,  0.01949153,  0.02963021,  0.02958817,  0.56528121,  0.02958817,  0.56528121
25-May-26,APLAPOLLO,1898.6,1880.5,  0.00957907,  0.01874097,  0.01870622,  0.35738184,1896.9,1885.3,  0.00613402,  0.01851798,  0.01847684,  0.35299949,  0.01870622,  0.35738184
25-May-26,APOLLOHOSP,8404,8362.5,  0.00495036,  0.01307447,  0.01304637,  0.24925059,8398.5,8365,  0.00399678,  0.01284841,  0.01281930,  0.24491240,  0.01304637,  0.24925059
25-May-26,ASHOKLEY,164.08,158.21,  0.03643085,  0.02213231,  0.02222671,  0.42464078,164.17,158.69,  0.03394986,  0.02162252,  0.02170150,  0.41460667,  0.02222671,  0.42464078
25-May-26,ASIANPAINT,2657.8,2639.8,  0.00679556,  0.01538479,  0.01535374,  0.29333286,2657.8,2644.1,  0.00516797,  0.01531348,  0.01527943,  0.29191314,  0.01535374,  0.29333286
25-May-26,ASTRAL,1552.3,1541.7,  0.00685200,  0.01907236,  0.01903092,  0.36358523,1559.2,1547.6,  0.00746753,  0.01877403,  0.01873437,  0.35791959,  0.01903092,  0.36358523
25-May-26,AUBANK,999.3,977.9,  0.02164762,  0.01959176,  0.01960265,  0.37450811,1000.9,979.5,  0.02161264,  0.01892407,  0.01893845,  0.36181860,  0.01960265,  0.37450811
25-May-26,AUROPHARMA,1454.6,1463.5, -0.00609988,  0.01759595,  0.01755728,  0.33543129,1460.6,1463.3, -0.00184685,  0.01762518,  0.01758163,  0.33589662,  0.01758163,  0.33589662
25-May-26,AXISBANK,1311.2,1285.4,  0.01987279,  0.01555180,  0.01557644,  0.29758738,1308.8,1285.9,  0.01765182,  0.01532310,  0.01533571,  0.29298829,  0.01557644,  0.29758738
25-May-26,BAJAJ-AUTO,10491,10549.5, -0.00556072,  0.01575845,  0.01572396,  0.30040586,10461,10506.5, -0.00434006,  0.01568976,  0.01565354,  0.29906047,  0.01572396,  0.30040586
25-May-26,BAJAJFINSV,1807.4,1766,  0.02317225,  0.01540961,  0.01545825,  0.29532943,1806.2,1768.5,  0.02109346,  0.01574385,  0.01577515,  0.30138380,  0.01577515,  0.30138380
25-May-26,BAJAJHLDNG,10632,10483,  0.01411342,  0.01963067,  0.01960686,  0.37458862,10680,10509,  0.01614080,  0.01969311,  0.01967698,  0.37592817,  0.01967698,  0.37592817
25-May-26,BAJFINANCE,941.9,916.55,  0.02728249,  0.01837151,  0.01842672,  0.35204205,944.25,918.1,  0.02808464,  0.01823463,  0.01829703,  0.34956423,  0.01842672,  0.35204205
25-May-26,BANDHANBNK,196.97,194.62,  0.01200249,  0.02443874,  0.02439229,  0.46601414,197.52,195.39,  0.01084228,  0.02448555,  0.02443625,  0.46685381,  0.02443625,  0.46685381
25-May-26,BANKBARODA,272.25,265.25,  0.02604798,  0.01874851,  0.01879215,  0.35902354,272.85,266.3,  0.02429870,  0.01890570,  0.01893660,  0.36178332,  0.01893660,  0.36178332
25-May-26,BANKEX,62289.98,60904.45,  0.02249434,  0.01129814,  0.01138164,  0.21744592,62461.85,60953.95,  0.02443731,  0.01144649,  0.01154776,  0.22061969,  0.01154776,  0.22061969
25-May-26,BANKINDIA,146.01,139.92,  0.04260428,  0.02185162,  0.02200405,  0.42038677,146.25,140.03,  0.04346080,  0.02196308,  0.02212266,  0.42265292,  0.02212266,  0.42265292
25-May-26,BANKNIFTY,55293.65,54055.35,  0.02264955,  0.01109242,  0.01117988,  0.21359139,55431.4,54237.2,  0.02177920,  0.01099121,  0.01107148,  0.21152028,  0.01117988,  0.21359139
25-May-26,BDL,1326.1,1312.5,  0.01030859,  0.02676235,  0.02670525,  0.51020303,1327.3,1317.4,  0.00748671,  0.02726814,  0.02720501,  0.51975096,  0.02720501,  0.51975096
25-May-26,BEL,421.85,416.55,  0.01264330,  0.01891898,  0.01889285,  0.36094731,421.75,416.7,  0.01204618,  0.01892411,  0.01889590,  0.36100562,  0.01889590,  0.36100562
25-May-26,BHARATFORG,1918.2,1897.7,  0.01074462,  0.02046356,  0.02042654,  0.39024845,1920.7,1903.6,  0.00894287,  0.02064722,  0.02060530,  0.39366367,  0.02060530,  0.39366367
25-May-26,BHARTIARTL,1874.8,1871.4,  0.00181517,  0.01345827,  0.01342538,  0.25649152,1877.7,1874.9,  0.00149230,  0.01297392,  0.01294177,  0.24725226,  0.01342538,  0.25649152
25-May-26,BHEL,419.4,408.55,  0.02621081,  0.02486439,  0.02487135,  0.47516639,420.1,408.95,  0.02689988,  0.02496652,  0.02497662,  0.47717759,  0.02497662,  0.47717759
25-May-26,BIOCON,430.05,430.25, -0.00046495,  0.01881015,  0.01876305,  0.35846753,430.55,430.9, -0.00081258,  0.01884511,  0.01879807,  0.35913671,  0.01879807,  0.35913671
25-May-26,BLUESTARCO,1652.3,1657.2, -0.00296117,  0.02198930,  0.02193527,  0.41907280,1659.6,1658.2,  0.00084393,  0.02224519,  0.02218962,  0.42393213,  0.02218962,  0.42393213
25-May-26,BOSCHLTD,36310,36065,  0.00677032,  0.01831168,  0.01827218,  0.34908952,36425,36195,  0.00633436,  0.01835944,  0.01831899,  0.34998375,  0.01831899,  0.34998375
25-May-26,BPCL,308.25,295.6,  0.04190395,  0.01956968,  0.01974424,  0.37721310,308.25,296.25,  0.03970745,  0.01967826,  0.01982870,  0.37882674,  0.01982870,  0.37882674
25-May-26,BRITANNIA,5327,5331.5, -0.00084440,  0.01319377,  0.01316105,  0.25144145,5339.5,5347.5, -0.00149715,  0.01341764,  0.01338436,  0.25570781,  0.01338436,  0.25570781
25-May-26,BSE,4291.2,4193.8,  0.02295917,  0.02979601,  0.02976570,  0.56867281,4292.5,4210.5,  0.01928791,  0.02975919,  0.02971602,  0.56772384,  0.02976570,  0.56867281
25-May-26,CAMS,769.65,757.2,  0.01630845,  0.02133739,  0.02131510,  0.40722439,771.6,760.45,  0.01455592,  0.02197078,  0.02194005,  0.41916406,  0.02194005,  0.41916406
25-May-26,CANBK,133.7,128.23,  0.04177296,  0.02000574,  0.02017309,  0.38540643,133.94,128.47,  0.04169652,  0.02007947,  0.02024493,  0.38677880,  0.02024493,  0.38677880
25-May-26,CDSL,1217.4,1204.1,  0.01098504,  0.02316823,  0.02312335,  0.44177106,1221.8,1204.6,  0.01417762,  0.02385756,  0.02381888,  0.45505910,  0.02381888,  0.45505910
25-May-26,CGPOWER,867.9,865.75,  0.00248032,  0.02198309,  0.02192885,  0.41895009,869.3,867.65,  0.00189988,  0.02197389,  0.02191926,  0.41876680,  0.02192885,  0.41895009
25-May-26,CHOLAFIN,1591,1539.8,  0.03271021,  0.02121437,  0.02128731,  0.40669347,1587.5,1539.6,  0.03063781,  0.02084841,  0.02090885,  0.39946305,  0.02128731,  0.40669347
25-May-26,CIPLA,1413.9,1399.2,  0.01045120,  0.01459378,  0.01457605,  0.27847505,1412.6,1401.7,  0.00774619,  0.01453918,  0.01451320,  0.27727436,  0.01457605,  0.27847505
25-May-26,COALINDIA,458,456.55,  0.00317096,  0.01582844,  0.01579043,  0.30167568,460.1,458.4,  0.00370169,  0.01605112,  0.01601313,  0.30593041,  0.01601313,  0.30593041
25-May-26,COCHINSHIP,1529,1532.2, -0.00209068,  0.02852968,  0.02845860,  0.54370087,1530.1,1535.9, -0.00378344,  0.02847806,  0.02840804,  0.54273479,  0.02845860,  0.54370087
