Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
26-May-26,360ONE,1125.3,1142.4, -0.01508165,  0.02152349,  0.02149607,  0.41068182,1134,1149.4, -0.01348886,  0.02156130,  0.02152848,  0.41130096,  0.02152848,  0.41130096
26-May-26,ABB,6804,6755,  0.00722770,  0.02031093,  0.02026644,  0.38718977,6784.5,6692,  0.01372782,  0.02031787,  0.02029035,  0.38764653,  0.02029035,  0.38764653
26-May-26,ABCAPITAL,363.05,363.65, -0.00165130,  0.02123683,  0.02118392,  0.40471830,364.8,366.6, -0.00492208,  0.02142003,  0.02136930,  0.40825993,  0.02136930,  0.40825993
26-May-26,ADANIENSOL,1463.3,1404.3,  0.04115520,  0.02871433,  0.02878986,  0.55002956,1469.3,1413.8,  0.03850498,  0.02886359,  0.02891985,  0.55251292,  0.02891985,  0.55251292
26-May-26,ADANIENT,2969.3,2849.7,  0.04111251,  0.02543820,  0.02554047,  0.48795003,2986,2865.7,  0.04112205,  0.02592044,  0.02601857,  0.49708400,  0.02601857,  0.49708400
26-May-26,ADANIGREEN,1457.4,1411.1,  0.03228448,  0.03022538,  0.03023597,  0.57765730,1468.4,1422.3,  0.03189809,  0.03039578,  0.03040342,  0.58085652,  0.03040342,  0.58085652
26-May-26,ADANIPORTS,1811.2,1802.9,  0.00459313,  0.02078577,  0.02073633,  0.39616696,1816.6,1808.6,  0.00441356,  0.02069990,  0.02065054,  0.39452808,  0.02073633,  0.39616696
26-May-26,ADANIPOWER,244.53,233.38,  0.04666997,  0.02743065,  0.02756027,  0.52653813,246.49,235.26,  0.04663014,  0.02738711,  0.02751675,  0.52570679,  0.02756027,  0.52653813
26-May-26,ALKEM,5380,5400.5, -0.00380317,  0.01506229,  0.01502691,  0.28708868,5420.5,5422.5, -0.00036890,  0.01500114,  0.01496347,  0.28587675,  0.01502691,  0.28708868
26-May-26,AMBER,7312,7461.5, -0.02023963,  0.03026464,  0.03022281,  0.57740604,7377,7524.5, -0.01979731,  0.03069671,  0.03065189,  0.58560349,  0.03065189,  0.58560349
26-May-26,AMBUJACEM,449.7,441.95,  0.01738394,  0.01875313,  0.01874654,  0.35815206,451.25,443.55,  0.01721097,  0.01894423,  0.01893586,  0.36176904,  0.01893586,  0.36176904
26-May-26,ANGELONE,344.45,346.45, -0.00578957,  0.02955344,  0.02948238,  0.56326002,346.2,349.1, -0.00834177,  0.02958817,  0.02952000,  0.56397888,  0.02952000,  0.56397888
26-May-26,APLAPOLLO,1874.2,1898.6, -0.01293487,  0.01870622,  0.01868173,  0.35691391,1884,1908.7, -0.01302521,  0.01847684,  0.01845349,  0.35255345,  0.01868173,  0.35691391
26-May-26,APOLLOHOSP,8258.5,8404, -0.01746481,  0.01304637,  0.01307226,  0.24974523,8315,8448.5, -0.01592780,  0.01281930,  0.01283654,  0.24524180,  0.01307226,  0.24974523
26-May-26,ASHOKLEY,160.54,164.08, -0.02181098,  0.02222671,  0.02222473,  0.42460279,160.74,164, -0.02007828,  0.02170150,  0.02169380,  0.41445943,  0.02222473,  0.42460279
26-May-26,ASIANPAINT,2647,2657.8, -0.00407179,  0.01535374,  0.01531810,  0.29265190,2646.4,2654, -0.00286771,  0.01527943,  0.01524250,  0.29120756,  0.01531810,  0.29265190
26-May-26,ASTRAL,1578.5,1552.3,  0.01673733,  0.01903092,  0.01902025,  0.36338131,1565.7,1547.9,  0.01143383,  0.01873437,  0.01870505,  0.35735941,  0.01902025,  0.36338131
26-May-26,AUBANK,1011.8,999.3,  0.01243117,  0.01960265,  0.01957323,  0.37394605,1021,1008,  0.01281437,  0.01893845,  0.01891263,  0.36132537,  0.01957323,  0.37394605
26-May-26,AUROPHARMA,1461.2,1454.6,  0.00452707,  0.01755728,  0.01751631,  0.33464866,1474.2,1467.2,  0.00475965,  0.01758163,  0.01754074,  0.33511546,  0.01754074,  0.33511546
26-May-26,AXISBANK,1299.3,1311.2, -0.00911709,  0.01557644,  0.01555096,  0.29710073,1307,1318.3, -0.00860859,  0.01533571,  0.01530930,  0.29248375,  0.01555096,  0.29710073
26-May-26,BAJAJ-AUTO,10593,10491,  0.00967566,  0.01572396,  0.01569942,  0.29993706,10292,10242.5,  0.00482116,  0.01565354,  0.01561797,  0.29838095,  0.01569942,  0.29993706
26-May-26,BAJAJFINSV,1800.7,1807.4, -0.00371387,  0.01545825,  0.01542187,  0.29463447,1810.6,1818.2, -0.00418872,  0.01577515,  0.01573860,  0.30068547,  0.01573860,  0.30068547
26-May-26,BAJAJHLDNG,10705,10632,  0.00684260,  0.01960686,  0.01956379,  0.37376572,10629,10612,  0.00160068,  0.01967698,  0.01962796,  0.37499170,  0.01962796,  0.37499170
26-May-26,BAJFINANCE,930.2,941.9, -0.01249950,  0.01842672,  0.01840173,  0.35156446,928.1,943.4, -0.01635089,  0.01829703,  0.01828778,  0.34938753,  0.01840173,  0.35156446
26-May-26,BANDHANBNK,200.4,196.97,  0.01726394,  0.02439229,  0.02436176,  0.46543076,202.22,198.9,  0.01655403,  0.02443625,  0.02440317,  0.46622184,  0.02440317,  0.46622184
26-May-26,BANKBARODA,270.55,272.25, -0.00626384,  0.01879215,  0.01875021,  0.35822231,272.85,274.55, -0.00621120,  0.01893660,  0.01889418,  0.36097276,  0.01889418,  0.36097276
26-May-26,BANKEX,62096.22,62289.98, -0.00311546,  0.01138164,  0.01135521,  0.21694101,62106.4,62461.85, -0.00570693,  0.01154776,  0.01152589,  0.22020178,  0.01152589,  0.22020178
26-May-26,BANKINDIA,144.99,146.01, -0.00701034,  0.02200405,  0.02195461,  0.41944220,145.86,147.26, -0.00955247,  0.02212266,  0.02207757,  0.42179143,  0.02207757,  0.42179143
26-May-26,BANKNIFTY,55092.9,55293.65, -0.00363722,  0.01117988,  0.01115487,  0.21311355,55457.8,55647.2, -0.00340939,  0.01107148,  0.01104650,  0.21104314,  0.01115487,  0.21311355
26-May-26,BDL,1329.9,1326.1,  0.00286145,  0.02670525,  0.02663916,  0.50894052,1324.6,1311.8,  0.00971029,  0.02720501,  0.02714555,  0.51861501,  0.02714555,  0.51861501
26-May-26,BEL,420.1,421.85, -0.00415702,  0.01889285,  0.01884786,  0.36008780,423.25,424.25, -0.00235988,  0.01889590,  0.01884921,  0.36011359,  0.01884921,  0.36011359
26-May-26,BHARATFORG,1930.6,1918.2,  0.00644359,  0.02042654,  0.02038042,  0.38936732,1947.6,1933.1,  0.00747291,  0.02060530,  0.02056055,  0.39280881,  0.02056055,  0.39280881
26-May-26,BHARTIARTL,1846.9,1874.8, -0.01499343,  0.01342538,  0.01343364,  0.25664942,1861.7,1889.6, -0.01487512,  0.01294177,  0.01295218,  0.24745100,  0.01343364,  0.25664942
26-May-26,BHEL,417.75,419.4, -0.00394195,  0.02487135,  0.02481058,  0.47400543,420.35,422.8, -0.00581156,  0.02497662,  0.02491746,  0.47604737,  0.02491746,  0.47604737
26-May-26,BIOCON,436.15,430.05,  0.01408474,  0.01876305,  0.01874251,  0.35807513,439.85,433.35,  0.01488804,  0.01879807,  0.01878061,  0.35880310,  0.01878061,  0.35880310
26-May-26,BLUESTARCO,1640.9,1652.3, -0.00692338,  0.02193527,  0.02188593,  0.41813008,1651,1659.6, -0.00519544,  0.02218962,  0.02213714,  0.42292951,  0.02213714,  0.42292951
