Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
08-Jul-26,360ONE,1091.7,1150.1, -0.05211278,  0.02088102,  0.02115227,  0.40411359,1091.2,1151.4, -0.05370059,  0.02094230,  0.02123219,  0.40564041,  0.02123219,  0.40564041
08-Jul-26,ABB,6771.5,6978, -0.03003971,  0.02006305,  0.02012534,  0.38449406,6743,6909, -0.02431998,  0.02009355,  0.02011687,  0.38433231,  0.02012534,  0.38449406
08-Jul-26,ABCAPITAL,385.75,405.4, -0.04968474,  0.02135837,  0.02159264,  0.41252675,387,407.2, -0.05087977,  0.02150263,  0.02174838,  0.41550218,  0.02174838,  0.41550218
08-Jul-26,ADANIENSOL,1655.5,1651,  0.00272191,  0.02799630,  0.02792683,  0.53354143,1663,1654.1,  0.00536615,  0.02813175,  0.02806398,  0.53616159,  0.02806398,  0.53616159
08-Jul-26,ADANIENT,3046.9,3107.2, -0.01959732,  0.02473255,  0.02470955,  0.47207526,3061,3117, -0.01812934,  0.02517454,  0.02514427,  0.48038070,  0.02514427,  0.48038070
08-Jul-26,ADANIGREEN,1504.6,1519, -0.00952514,  0.02928257,  0.02921705,  0.55819105,1511,1520.8, -0.00646483,  0.02945154,  0.02938132,  0.56132935,  0.02938132,  0.56132935
08-Jul-26,ADANIPORTS,1791.7,1833.9, -0.02327996,  0.01989768,  0.01991608,  0.38049615,1799.5,1841.2, -0.02290868,  0.01982282,  0.01983934,  0.37903002,  0.01991608,  0.38049615
08-Jul-26,ADANIPOWER,216.47,218.07, -0.00736414,  0.02660337,  0.02654190,  0.50708229,217.53,219.12, -0.00728275,  0.02663816,  0.02657644,  0.50774220,  0.02657644,  0.50774220
08-Jul-26,ALKEM,5606,5667.5, -0.01091065,  0.01458680,  0.01457056,  0.27837025,5622.5,5685.5, -0.01114267,  0.01456964,  0.01455436,  0.27806069,  0.01457056,  0.27837025
08-Jul-26,AMBER,7424,7624.5, -0.02664875,  0.02890244,  0.02889159,  0.55197307,7426,7632.5, -0.02742809,  0.02933135,  0.02932217,  0.56019934,  0.02932217,  0.56019934
08-Jul-26,AMBUJACEM,421.1,435.9, -0.03454252,  0.01878554,  0.01889713,  0.36102912,422,437.8, -0.03675687,  0.01901976,  0.01914932,  0.36584731,  0.01914932,  0.36584731
08-Jul-26,ANGELONE,331.2,335.8, -0.01379332,  0.02856616,  0.02851142,  0.54470993,330.65,337.2, -0.01961581,  0.02863548,  0.02859745,  0.54635345,  0.02859745,  0.54635345
08-Jul-26,APLAPOLLO,1809.7,1819.8, -0.00556552,  0.01791717,  0.01787679,  0.34153565,1809.7,1823.6, -0.00765148,  0.01772732,  0.01769128,  0.33799145,  0.01787679,  0.34153565
08-Jul-26,APOLLOHOSP,8753.5,8837, -0.00949383,  0.01263438,  0.01262072,  0.24111847,8769,8862.5, -0.01060612,  0.01235471,  0.01234663,  0.23588202,  0.01262072,  0.24111847
08-Jul-26,ASHOKLEY,156.21,164.16, -0.04964031,  0.02303997,  0.02324880,  0.44416766,156.34,164.32, -0.04978262,  0.02261309,  0.02282947,  0.43615645,  0.02324880,  0.44416766
08-Jul-26,ASIANPAINT,2665.9,2731.5, -0.02430920,  0.01482747,  0.01488978,  0.28446877,2677,2739.6, -0.02311516,  0.01477077,  0.01482433,  0.28321836,  0.01488978,  0.28446877
08-Jul-26,ASTRAL,1336,1359.5, -0.01743691,  0.01947919,  0.01946954,  0.37196506,1314.8,1349.5, -0.02604959,  0.01920996,  0.01925014,  0.36777337,  0.01946954,  0.37196506
08-Jul-26,AUBANK,1038.8,1066.9, -0.02669105,  0.01929826,  0.01934218,  0.36953185,1042.4,1070.8, -0.02688029,  0.01868704,  0.01873704,  0.35797066,  0.01934218,  0.36953185
08-Jul-26,AUROPHARMA,1557.4,1583.1, -0.01636719,  0.01749899,  0.01749338,  0.33421057,1559.7,1585.8, -0.01659552,  0.01754871,  0.01754415,  0.33518055,  0.01754415,  0.33518055
08-Jul-26,AXISBANK,1309.5,1341, -0.02377022,  0.01508812,  0.01514387,  0.28932327,1312.1,1344.4, -0.02431891,  0.01479430,  0.01485708,  0.28384403,  0.01514387,  0.28932327
08-Jul-26,BAJAJ-AUTO,10164,10109.5,  0.00537649,  0.01530187,  0.01526839,  0.29170221,10178,10101,  0.00759410,  0.01522832,  0.01519963,  0.29038859,  0.01526839,  0.29170221
08-Jul-26,BAJAJFINSV,1854.9,1885.3, -0.01625617,  0.01539425,  0.01539858,  0.29418955,1856.6,1890.5, -0.01809449,  0.01570306,  0.01571605,  0.30025464,  0.01571605,  0.30025464
